Date,Price_Per_Barrel (USD) ,Price_Per_Liter (USD),Fuel_Type,Import_Volume (Barrels),Transportation_Cost (USD),Taxes (%),Storage_Cost (USD),Exchange_Rate_Fluctuations (%),Seasonal_Demand_Variations (Scale)
2024-09-17 00:00:00,72.16,0.453836478,Petroleum,5148,42.53,14.13,10.83,-0.98,4.98
2024-09-16 00:00:00,71.1,0.447169811,Oil,19200,34.82,8.8,7.71,-1.55,1.02
2024-09-13 00:00:00,69.59,0.437672956,Petroleum,10350,49.78,10.98,14.68,-1.68,7.75
2024-09-12 00:00:00,69.89,0.439559748,Oil,11259,41.78,11.62,9.49,1.77,7.05
2024-09-11 00:00:00,68.25,0.429245283,Petroleum,9702,31.99,6.67,13.97,-0.07,3.81
2024-09-10 00:00:00,66.73,0.419685535,Oil,9577,24.39,14.06,14.43,-2.69,1.67
2024-09-09 00:00:00,69.65,0.438050314,Petroleum,19195,18.3,9.16,18.61,-1.36,5.2
2024-09-06 00:00:00,68.58,0.431320755,Gas,10932,31.23,10.64,16.91,-0.59,8.12
2024-09-05 00:00:00,70.09,0.44081761,Oil,16827,36.83,11.78,18.46,-1.29,3.67
2024-09-04 00:00:00,70.11,0.440943396,Oil,12187,39.49,13.32,8.43,0.97,4.72
2024-09-03 00:00:00,71.28,0.448301887,Gas,14871,23.86,9.73,6.25,0.73,9.92
2024-09-02 00:00:00,0,0,Petroleum,14325,14.73,9.18,13.11,-2.78,9.38
2024-08-30 00:00:00,74.52,0.468679245,Petroleum,14851,43.02,10.93,9.12,-2.9,3.92
2024-08-29 00:00:00,76.9,0.483647799,Gas,8147,46.14,8.77,14.16,-2.94,1.62
2024-08-28 00:00:00,75.49,0.474779874,Oil,16708,22.95,7.82,16.04,0.73,5.51
2024-08-27 00:00:00,76.5,0.481132075,Gas,10026,18.08,12.07,9.3,1.04,7.74
2024-08-26 00:00:00,78.4,0.493081761,Petroleum,17122,48.19,13.35,16.98,-1.68,2.87
2024-08-23 00:00:00,75.82,0.476855346,Oil,19525,29.3,5.93,12.23,1.12,9.5
2024-08-22 00:00:00,73.72,0.463647799,Petroleum,12757,41.73,5.86,9.53,0.63,9.45
2024-08-21 00:00:00,72.76,0.457610063,Gas,11383,31.17,10.71,14.07,1.4,8.92
2024-08-20 00:00:00,75.27,0.473396226,Gas,13221,22.98,11.17,17.42,1.34,1.49
2024-08-19 00:00:00,75.82,0.476855346,Oil,13723,42.52,11.02,11.05,-0.96,7.68
2024-08-16 00:00:00,78.05,0.490880503,Gas,11220,21.53,14.31,11.8,-1.1,8.87
2024-08-15 00:00:00,79.66,0.501006289,Oil,16336,48.28,8.23,19.62,0.18,8.38
2024-08-14 00:00:00,78.47,0.493522013,Gas,6905,24.25,9.88,8.59,2.96,4.99
2024-08-13 00:00:00,79.81,0.501949686,Oil,7843,22.16,5.51,7.89,-0.25,5.22
2024-08-12 00:00:00,81.45,0.512264151,Oil,7594,27.22,10.85,12.48,2.85,2.64
2024-08-09 00:00:00,78.28,0.492327044,Gas,5798,48.03,13.54,14.93,-0.77,7.92
2024-08-08 00:00:00,77.64,0.488301887,Petroleum,10206,10.42,5.67,7.09,-1.28,4.89
2024-08-07 00:00:00,76.68,0.482264151,Petroleum,8248,13.06,6.34,16.37,-2.79,7.72
2024-08-06 00:00:00,74.6,0.46918239,Petroleum,19549,18.8,12.39,8.95,-1.62,9.42
2024-08-05 00:00:00,74.46,0.468301887,Petroleum,12410,44.28,14.94,17.52,2.51,9.36
2024-08-02 00:00:00,74.99,0.47163522,Gas,6005,46.64,10.97,12.79,0.69,9.92
2024-08-01 00:00:00,77.74,0.488930818,Petroleum,13688,21.59,5.38,11.87,1.45,5.95
2024-07-31 00:00:00,79.36,0.499119497,Petroleum,10180,28.63,10.09,10.74,1.82,6.75
2024-07-30 00:00:00,76.17,0.479056604,Petroleum,7182,44.56,9.46,15.86,2.12,7.28
2024-07-29 00:00:00,77.27,0.485974843,Petroleum,11857,33.66,10.36,12.94,-2.89,3.6
2024-07-26 00:00:00,78.58,0.494213836,Gas,13505,28.66,13.97,18.37,-0.57,6.21
2024-07-25 00:00:00,79.43,0.499559748,Oil,9790,13.82,11.62,12.25,-1.28,4.28
2024-07-24 00:00:00,78.78,0.495471698,Gas,16694,23.85,6.15,13.51,2.49,4.62
2024-07-23 00:00:00,78.24,0.492075472,Oil,6545,19.67,8.35,18.52,-1.46,1.72
2024-07-22 00:00:00,81.25,0.511006289,Oil,7233,18.52,10.47,12.76,-2.77,8.38
2024-07-19 00:00:00,81.43,0.512138365,Gas,16104,40.25,12.54,6,1.61,7.87
2024-07-18 00:00:00,84.17,0.529371069,Oil,14149,35.47,14.46,13.12,-2.37,7.08
2024-07-17 00:00:00,84.16,0.529308176,Oil,18198,21.9,10.63,17.87,-0.69,4.4
2024-07-16 00:00:00,81.92,0.515220126,Petroleum,14961,38.36,11.4,6.4,-2.41,2.76
2024-07-15 00:00:00,83.22,0.523396226,Gas,18425,44.23,6.09,18.06,-1.15,4.65
2024-07-12 00:00:00,83.49,0.52509434,Petroleum,12410,21.64,5.01,9.58,-2.69,8.63
2024-07-11 00:00:00,83.92,0.527798742,Petroleum,19964,39.14,12.61,13.74,-0.3,9.58
2024-07-10 00:00:00,83.39,0.524465409,Gas,14226,14.68,6.78,15.45,1.93,8.8
2024-07-09 00:00:00,82.78,0.520628931,Petroleum,9709,27.94,9.53,9.39,1.62,4.23
2024-07-08 00:00:00,83.63,0.525974843,Gas,16736,44.58,10.34,10.39,-0.69,5.51
2024-07-05 00:00:00,84.44,0.531069182,Oil,11984,26.16,5.17,19.24,-0.39,3.71
2024-07-04 00:00:00,0,0,Oil,11064,13.09,6.62,11.43,-0.59,7.26
2024-07-03 00:00:00,85.19,0.535786164,Petroleum,16730,25.36,9.81,11.11,-2.28,9.78
2024-07-02 00:00:00,84.09,0.528867925,Gas,7848,44.75,7.47,12.65,2.43,9.39
2024-07-01 00:00:00,84.7,0.532704403,Gas,17691,38.41,14.19,15.93,1.07,5.79
2024-06-28 00:00:00,82.83,0.520943396,Petroleum,17320,13.27,13.45,16.67,-0.69,7.77
2024-06-27 00:00:00,83.04,0.522264151,Petroleum,9124,14.69,14.72,14.49,2.62,9.4
2024-06-26 00:00:00,82.19,0.516918239,Petroleum,15480,24.31,14.26,18.2,2.52,9.46
2024-06-25 00:00:00,81.97,0.515534591,Oil,13319,49.35,5.72,9.25,-2.22,7.83
2024-06-24 00:00:00,82.63,0.519685535,Gas,9559,26.08,6.76,9.99,-1.99,4.59
2024-06-21 00:00:00,81.71,0.513899371,Petroleum,11053,44.35,6.39,14.46,0.72,2.22
2024-06-20 00:00:00,83.34,0.524150943,Gas,8912,45.23,9.84,11.86,-0.65,8.51
2024-06-19 00:00:00,0,0,Gas,11646,11.68,13.48,19.46,-2.4,7.36
2024-06-18 00:00:00,82.67,0.519937107,Oil,15909,17.72,7.83,19.5,0.27,7.61
2024-06-17 00:00:00,81.33,0.511509434,Petroleum,10902,36.62,7.93,16.24,1.41,7.01
2024-06-14 00:00:00,79.41,0.499433962,Gas,18914,37.73,9.66,14.18,-2.55,4.26
2024-06-13 00:00:00,79.61,0.500691824,Petroleum,14900,46.12,13.31,15.01,2.51,3.02
2024-06-12 00:00:00,79.56,0.500377358,Gas,9510,45.27,9.63,9.94,-2.89,4.42
2024-06-11 00:00:00,78.88,0.496100629,Oil,19369,14.41,6.09,12.94,1.14,5.35
2024-06-10 00:00:00,78.75,0.495283019,Oil,19537,33.9,8.19,13.96,1.76,5.3
2024-06-07 00:00:00,76.53,0.481320755,Gas,18847,48.69,7.75,7.37,-1.51,7.32
2024-06-06 00:00:00,76.52,0.481257862,Gas,13106,24.7,12.99,16.76,-0.84,2.07
2024-06-05 00:00:00,75.08,0.472201258,Petroleum,18071,14.01,10.39,11.31,0.21,1.24
2024-06-04 00:00:00,74.27,0.467106918,Oil,12958,44.16,10.98,8.09,-2.95,6.74
2024-06-03 00:00:00,75.26,0.473333333,Gas,14080,12.15,6.57,16.81,1.99,2.36
2024-05-31 00:00:00,77.97,0.490377358,Gas,10941,39.17,7.46,14.62,1.29,2.35
2024-05-30 00:00:00,78.96,0.496603774,Oil,14597,19.64,8.05,10.42,-1.5,6.6
2024-05-29 00:00:00,80.24,0.504654088,Oil,10212,20.72,5.43,6.81,2,8.5
2024-05-28 00:00:00,80.9,0.508805031,Petroleum,19524,36.41,5.49,17.88,-1.65,1.7
2024-05-27 00:00:00,0,0,Oil,17543,22.42,8.89,12.08,1.31,9.39
2024-05-24 00:00:00,78.48,0.493584906,Oil,19369,27.54,15,19.27,2.16,5.3
2024-05-23 00:00:00,77.47,0.487232704,Petroleum,6000,25.46,5.4,19.65,2.15,2.79
2024-05-22 00:00:00,79.15,0.497798742,Oil,12470,28.22,6.06,15.03,-2.69,6.91
2024-05-21 00:00:00,80.66,0.507295597,Oil,8470,27.17,10.35,6.49,1.91,4.61
2024-05-20 00:00:00,81.39,0.511886792,Oil,9667,26.99,13.53,8.18,-1.1,2.41
2024-05-17 00:00:00,81.66,0.513584906,Gas,14995,11.36,12.69,10.12,1.18,1.4
2024-05-16 00:00:00,80.85,0.508490566,Petroleum,9277,24.13,13.49,13.57,2.66,4.5
2024-05-15 00:00:00,80.23,0.504591195,Petroleum,17609,11.21,8.06,6.54,-2.47,3.31
2024-05-14 00:00:00,79.62,0.500754717,Oil,14254,17.06,14.7,13.35,-0.79,2.14
2024-05-13 00:00:00,80.71,0.507610063,Petroleum,6921,29.08,13.83,19.34,-0.59,5.89
2024-05-10 00:00:00,79.81,0.501949686,Petroleum,10028,33.78,13.47,18.31,-0.77,5.34
2024-05-09 00:00:00,80.86,0.508553459,Gas,17941,15.77,11.79,12.39,0.57,7.39
2024-05-08 00:00:00,80.57,0.50672956,Petroleum,8292,44.68,10.89,15.17,-2.82,1.15
2024-05-07 00:00:00,79.97,0.502955975,Petroleum,11070,46.15,11.05,11.39,0.24,4.27
2024-05-06 00:00:00,80.1,0.503773585,Oil,5215,45.65,5.57,8.25,1.59,2.78
2024-05-03 00:00:00,79.65,0.500943396,Gas,8016,11.1,7.64,10.6,1.29,6.2
2024-05-02 00:00:00,80.59,0.506855346,Gas,6199,22.23,7.82,12.06,-2.29,1.82
2024-05-01 00:00:00,80.7,0.50754717,Gas,12666,18.67,6.28,16.04,-2.93,3.57
2024-04-30 00:00:00,83.49,0.52509434,Oil,19163,31.66,11.22,10.13,-0.71,8.82
2024-04-29 00:00:00,84.26,0.529937107,Petroleum,14002,42.99,9.64,6.24,2.09,7.47
2024-04-26 00:00:00,85.38,0.536981132,Petroleum,11944,39.43,8.12,13.75,-0.44,6.01
2024-04-25 00:00:00,84.92,0.53408805,Gas,17966,13.37,14.16,10.93,-0.44,6.02
2024-04-24 00:00:00,84.09,0.528867925,Oil,5016,48.33,12.86,16.51,1.07,5.27
2024-04-23 00:00:00,84.17,0.529371069,Oil,18158,13.84,8.64,11.95,-1.18,1.82
2024-04-22 00:00:00,83.82,0.527169811,Petroleum,9433,23.52,14.71,10.91,-1.46,9.81
2024-04-19 00:00:00,83.79,0.526981132,Oil,18686,42.99,9.33,11.2,2.26,8.36
2024-04-18 00:00:00,83.5,0.525157233,Petroleum,15992,44.36,11.46,19.08,-2.29,6.39
2024-04-17 00:00:00,83.58,0.525660377,Oil,11070,33.95,6.56,17.71,0.18,8.09
2024-04-16 00:00:00,86.15,0.541823899,Gas,18879,17.17,8.08,9.4,0.02,9.77
2024-04-15 00:00:00,86.21,0.542201258,Petroleum,14502,44.58,5.71,12.89,-1.99,4.81
2024-04-12 00:00:00,86.46,0.543773585,Gas,6994,15.12,7.95,12.1,2.54,7.36
2024-04-11 00:00:00,85.79,0.539559748,Petroleum,10956,41.24,6.75,18.45,-0.89,4.23
2024-04-10 00:00:00,86.98,0.547044025,Gas,8679,49.3,7.35,7.51,2.68,7.49
2024-04-09 00:00:00,86.04,0.541132075,Oil,9912,20.73,13.13,7.39,0.23,5.47
2024-04-08 00:00:00,87.24,0.548679245,Gas,10060,48.13,8.01,7.69,0.35,5.93
2024-04-05 00:00:00,87.69,0.551509434,Petroleum,5908,29.62,12.88,15.66,-1.61,9.52
2024-04-04 00:00:00,87.37,0.549496855,Oil,12648,45.92,11.3,16.8,-0.03,8.96
2024-04-03 00:00:00,86.22,0.542264151,Oil,5404,19.16,8.09,18.72,-0.69,3.24
2024-04-02 00:00:00,85.95,0.540566038,Petroleum,16982,19.09,10.69,17.22,0.95,4.86
2024-04-01 00:00:00,84.54,0.531698113,Oil,10911,42.59,14.27,16.78,-0.35,4.88
2024-03-29 00:00:00,0,0,Oil,6340,38.69,8.79,6.45,2.29,4.75
2024-03-28 00:00:00,83.96,0.528050314,Gas,9536,14.56,7.77,12.37,1.12,3.93
2024-03-27 00:00:00,82.15,0.516666667,Oil,11766,29.36,11.11,15.26,1.02,4.14
2024-03-26 00:00:00,82.41,0.518301887,Gas,15724,20.47,7.86,11.28,1.52,6.62
2024-03-25 00:00:00,82.41,0.518301887,Oil,10091,45.98,14.3,15.81,-0.53,5.86
2024-03-22 00:00:00,81.1,0.510062893,Petroleum,14841,15.88,9.25,7.83,-2.53,4.65
2024-03-21 00:00:00,81.99,0.515660377,Gas,5251,32.88,13.23,6.75,-0.41,3.8
2024-03-20 00:00:00,82.79,0.520691824,Petroleum,17083,48.09,6.81,9.96,0.72,7.07
2024-03-19 00:00:00,84.39,0.530754717,Gas,13261,20.21,13.48,11.83,-0.24,3.09
2024-03-18 00:00:00,83.68,0.526289308,Oil,9030,32.86,7.95,11.54,2.67,6.82
2024-03-15 00:00:00,81.94,0.515345912,Gas,9996,33.62,13.47,16.83,-0.71,3.98
2024-03-14 00:00:00,82.16,0.51672956,Oil,11783,10.98,5.87,17.75,-1.83,8.38
2024-03-13 00:00:00,80.67,0.507358491,Gas,14930,49.63,11.98,11.54,2.44,8.46
2024-03-12 00:00:00,78.51,0.493773585,Gas,12092,14.54,6.56,19.44,0.18,3.07
2024-03-11 00:00:00,78.87,0.496037736,Oil,5505,17.47,7.66,8.89,1.94,7.17
2024-03-08 00:00:00,78.96,0.496603774,Oil,6763,45.59,13.26,10.29,0.2,1.81
2024-03-07 00:00:00,79.81,0.501949686,Petroleum,9241,46.71,10.78,15.7,-0.76,8.28
2024-03-06 00:00:00,80.08,0.503647799,Oil,9552,24.12,10.17,17.84,1.66,7.28
2024-03-05 00:00:00,79.11,0.49754717,Gas,10813,40.37,10.36,11.76,-1.35,2.94
2024-03-04 00:00:00,79.67,0.501069182,Petroleum,16006,35.67,14.31,10.36,-0.72,4.67
2024-03-01 00:00:00,80.9,0.508805031,Petroleum,6004,37.17,12.29,7.58,0.89,1.3
2024-02-29 00:00:00,79.22,0.498238994,Oil,7263,14.33,5.13,16.24,-1.71,4.75
2024-02-28 00:00:00,79.44,0.499622642,Petroleum,17897,11.16,13.38,5.47,-2.01,1.04
2024-02-27 00:00:00,79.8,0.501886792,Oil,5131,28.85,8.66,11.54,2.37,6.95
2024-02-26 00:00:00,78.53,0.493899371,Oil,11499,39.26,11.68,18.87,0.81,7.1
2024-02-23 00:00:00,77.6,0.488050314,Petroleum,17241,14.72,12.02,17.04,0.21,5.42
2024-02-22 00:00:00,79.64,0.500880503,Oil,7113,23.06,10.44,5.05,-2.78,5.27
2024-02-21 00:00:00,78.89,0.496163522,Gas,10428,23.21,10.63,18.34,0.54,4.25
2024-02-20 00:00:00,78.72,0.49509434,Oil,15244,17.1,5.03,13,2.05,6.94
2024-02-19 00:00:00,0,0,Petroleum,15683,26.53,8.78,10.04,-0.35,6.27
2024-02-16 00:00:00,79.65,0.500943396,Oil,17331,39.65,10.63,6.99,-1.6,4.66
2024-02-15 00:00:00,78.47,0.493522013,Oil,14672,14.89,14.74,10.66,-1.95,5.32
2024-02-14 00:00:00,77.09,0.484842767,Gas,12839,47.18,7.19,6.62,0.2,4.49
2024-02-13 00:00:00,78.28,0.492327044,Petroleum,19552,27.38,9.71,8.85,-1.87,7.49
2024-02-12 00:00:00,77.34,0.486415094,Petroleum,14741,46.04,10.81,15.05,2.25,1.93
2024-02-09 00:00:00,77.26,0.48591195,Oil,13578,27.88,6.16,10.14,-0.34,2.51
2024-02-08 00:00:00,76.67,0.482201258,Oil,9459,24.55,8.02,11.47,1.41,7.37
2024-02-07 00:00:00,74.26,0.467044025,Oil,18875,46.61,13.41,6.44,2.91,1.49
2024-02-06 00:00:00,73.83,0.464339623,Petroleum,10641,37.05,12.2,18.38,-1.09,1.14
2024-02-05 00:00:00,73.21,0.460440252,Petroleum,11976,38.19,5.34,5.44,1.45,9.82
2024-02-02 00:00:00,72.72,0.457358491,Oil,9272,21.75,13.65,13.15,-2.7,6.76
2024-02-01 00:00:00,74.36,0.467672956,Oil,11248,26.39,13.25,11.62,0.36,6.93
2024-01-31 00:00:00,76.28,0.479748428,Petroleum,10013,11.26,7.06,12.01,-1.21,8.96
2024-01-30 00:00:00,78.3,0.49245283,Petroleum,10360,36.33,13.49,16.96,1.28,2.34
2024-01-29 00:00:00,77.25,0.485849057,Oil,6050,25.96,13.54,16.74,1.58,7.94
2024-01-26 00:00:00,78.45,0.493396226,Petroleum,16315,38.91,7.53,7.82,0.74,1.25
2024-01-25 00:00:00,77.91,0.49,Gas,5923,22.52,6.76,14.27,1.7,9.98
2024-01-24 00:00:00,75.48,0.474716981,Gas,5812,28.49,10.99,18.97,-1.15,7.98
2024-01-23 00:00:00,74.72,0.469937107,Gas,17793,23,13.81,5.69,2.73,1.97
2024-01-22 00:00:00,75.26,0.473333333,Gas,10004,33.12,13.81,13.5,1.04,1.79
2024-01-19 00:00:00,73.69,0.463459119,Gas,12159,32,13.49,9.42,-0.85,7.88
2024-01-18 00:00:00,74.32,0.467421384,Petroleum,19015,29.56,11.58,12.51,1.65,2.25
2024-01-17 00:00:00,72.79,0.457798742,Petroleum,13315,36.63,5.43,18.69,-0.6,6.72
2024-01-16 00:00:00,72.63,0.456792453,Oil,12332,39.39,6.34,19.34,-2.86,9.18
2024-01-15 00:00:00,0,0,Gas,15379,11.41,5.23,11.89,1.97,4.02
2024-01-12 00:00:00,72.94,0.458742138,Gas,15323,49.35,6.56,10.86,-1.55,3.5
2024-01-11 00:00:00,72.15,0.453773585,Gas,18343,21.51,6.38,18.21,1.66,6.73
2024-01-10 00:00:00,71.57,0.450125786,Oil,11688,22.78,9.62,16.76,1.77,2.06
2024-01-09 00:00:00,72.43,0.455534591,Gas,17568,28.37,9.65,6.19,1.45,8.04
2024-01-08 00:00:00,71.06,0.446918239,Oil,9377,47.02,11.06,9.94,1.73,2.97
2024-01-05 00:00:00,74,0.465408805,Oil,16299,23.17,13.05,9.37,2.47,5.95
2024-01-04 00:00:00,72.38,0.455220126,Oil,13239,25.66,8.39,12.44,-1.11,7.56
2024-01-03 00:00:00,72.97,0.458930818,Petroleum,15584,35.95,10.52,9.87,-1.76,4.31
2024-01-02 00:00:00,70.62,0.444150943,Gas,17760,40.24,10.32,9.08,-2.1,7.31
2024-01-01 00:00:00,0,0,Oil,9502,24.45,5.98,19.32,-1.97,5.17
2023-12-29 00:00:00,71.89,0.452138365,Gas,16485,22.49,10.6,17.99,-2.22,8.26
2023-12-28 00:00:00,72.02,0.452955975,Petroleum,14152,31.47,12.08,13.75,2.55,5.66
2023-12-27 00:00:00,74.31,0.467358491,Petroleum,9725,33.32,14.39,5.39,-2.29,6.73
2023-12-26 00:00:00,75.84,0.476981132,Gas,16142,11.8,12.06,9.1,0.87,6.95
2023-12-25 00:00:00,0,0,Oil,9510,27.46,11.67,10.6,0.72,1.22
2023-12-22 00:00:00,73.29,0.460943396,Oil,11633,18.33,8.6,6.71,0.54,6.03
2023-12-21 00:00:00,73.59,0.462830189,Petroleum,8974,23.87,6.5,13.79,2.97,1.91
2023-12-20 00:00:00,73.87,0.464591195,Gas,8646,36.59,7.57,12.89,0.79,7.82
2023-12-19 00:00:00,73.23,0.460566038,Petroleum,9331,46.37,13.61,16.39,-1.73,5.62
